Person,Date,ID,Habitat,Site,Treatment,Quadrat,Propagules,average,proportion.remaining
Zoe,After,10PC,flat,south,caged,1,18,12.71428571,0.951871658
Mez,After,10PE,flat,south,exposed,1,4,5.928571429,0.715517241
Mez,After,11PC,crest,bird,caged,1,7,7.357142857,1.03
Lex,After,11PE,crest,bird,exposed,1,7,6.714285714,0.549707602
Lex,After,12PC,crest,bird,caged,1,5,5.714285714,0.747663551
Zoe,After,12PE,crest,bird,exposed,1,12,6,0.424242424
Mez,After,13PC,crest,bird,caged,1,6,7.357142857,1.157303371
Zoe,After,13PE,crest,bird,exposed,1,5,5,0.338164251
Lex,After,14PC,crest,bird,caged,1,5,4.285714286,0.535714286
Zoe,After,14PE,crest,bird,exposed,1,3,4.428571429,0.496
Mez,After,15PC,crest,bird,caged,1,7,9.928571429,1.275229358
Mez,After,15PE,crest,bird,exposed,1,4,3.428571429,0.475247525
Zoe,After,16PC,crest,south,caged,1,9,13.92857143,0.975
Zoe,After,16PE,crest,south,exposed,1,1,4.071428571,0.285
Mez,After,17PC,crest,south,caged,1,10,8.642857143,0.975806452
Mez,After,17PE,crest,south,exposed,1,7,7.714285714,0.475770925
Zoe,After,18PC,crest,south,caged,1,6,13.64285714,0.922705314
Lex,After,18PE,crest,south,exposed,1,2,3.357142857,0.412280702
Lex,After,19PC,crest,south,caged,1,9,6.571428571,0.828828829
Mez,After,19PE,crest,south,exposed,1,2,5,0.534351145
Lex,After,1PC,flat,bird,caged,1,3,3.071428571,0.530864198
Zoe,After,1PE,flat,bird,exposed,1,10,6.571428571,0.621621622
Zoe,After,20PC,crest,south,caged,1,15,11,1.305084746
Lex,After,20PE,crest,south,exposed,1,6,5,0.542635659
Mez,After,2PC,flat,bird,caged,1,6,5.5,1.283333333
Zoe,After,2PE,flat,bird,exposed,1,10,7.214285714,0.492682927
Zoe,After,3PC,flat,bird,caged,1,12,12.85714286,1.125
Zoe,After,3PE,flat,bird,exposed,1,9,9.142857143,0.558951965
Zoe,After,4PC,flat,bird,caged,1,12,10.5,0.686915888
Mez,After,4PE,flat,bird,exposed,1,5,7.571428571,0.592178771
Lex,After,5PC,flat,south,caged,1,4,4.285714286,0.582524272
Mez,After,5PE,flat,south,exposed,1,11,6.5,0.978494624
Zoe,After,6PC,flat,south,caged,1,12,12.71428571,1.098765432
Mez,After,6PE,flat,south,exposed,1,4,4.285714286,0.731707317
Zoe,After,8PC,flat,south,caged,1,10,11.07142857,0.939393939
Mez,After,8PE,flat,south,exposed,1,6,6.642857143,1.056818182
Mez,After,9PC,flat,south,caged,1,6,8.142857143,1.407407407
Mez,After,9PE,flat,south,exposed,1,10,5,0.625
